fecha,ccaa,perc_total
2021-05-25T22:00:00000Z,Castilla y Leon,0.47100000000000003
2021-05-26T22:00:00000Z,Castilla y Leon,0.48
2021-05-27T22:00:00000Z,Castilla y Leon,0.48700000000000004
2021-05-30T22:00:00000Z,Castilla y Leon,0.49200000000000005
2021-05-31T22:00:00000Z,Castilla y Leon,0.496
2021-06-01T22:00:00000Z,Castilla y Leon,0.505
2021-06-02T22:00:00000Z,Castilla y Leon,0.515
2021-03-30T22:00:00000Z,Castilla - La Mancha,0.136
2021-03-31T22:00:00000Z,Castilla - La Mancha,0.136
2021-04-02T22:00:00000Z,Castilla - La Mancha,0.146
2021-04-04T22:00:00000Z,Castilla - La Mancha,0.152
2021-04-05T22:00:00000Z,Castilla - La Mancha,0.159
2021-04-06T22:00:00000Z,Castilla - La Mancha,0.166
2021-04-07T22:00:00000Z,Castilla - La Mancha,0.174
2021-04-08T22:00:00000Z,Castilla - La Mancha,0.182
2021-04-11T22:00:00000Z,Castilla - La Mancha,0.193
2021-04-12T22:00:00000Z,Castilla - La Mancha,0.195
2021-04-13T22:00:00000Z,Castilla - La Mancha,0.2
2021-04-14T22:00:00000Z,Castilla - La Mancha,0.209
2021-04-15T22:00:00000Z,Castilla - La Mancha,0.22
2021-04-18T22:00:00000Z,Castilla - La Mancha,0.23
2021-04-19T22:00:00000Z,Castilla - La Mancha,0.23199999999999998
2021-04-20T22:00:00000Z,Castilla - La Mancha,0.237
2021-04-21T22:00:00000Z,Castilla - La Mancha,0.247
2021-04-22T22:00:00000Z,Castilla - La Mancha,0.259
2021-04-25T22:00:00000Z,Castilla - La Mancha,0.27
2021-04-26T22:00:00000Z,Castilla - La Mancha,0.273
2021-04-27T22:00:00000Z,Castilla - La Mancha,0.27899999999999997
2021-04-28T22:00:00000Z,Castilla - La Mancha,0.28800000000000003
2021-04-29T22:00:00000Z,Castilla - La Mancha,0.299
2021-05-02T22:00:00000Z,Castilla - La Mancha,0.309
2021-05-03T22:00:00000Z,Castilla - La Mancha,0.313
2021-05-04T22:00:00000Z,Castilla - La Mancha,0.319
2021-05-05T22:00:00000Z,Castilla - La Mancha,0.326
2021-05-06T22:00:00000Z,Castilla - La Mancha,0.336
2021-05-09T22:00:00000Z,Castilla - La Mancha,0.34600000000000003
2021-05-10T22:00:00000Z,Castilla - La Mancha,0.35
2021-05-11T22:00:00000Z,Castilla - La Mancha,0.35700000000000004
2021-05-12T22:00:00000Z,Castilla - La Mancha,0.366
2021-05-13T22:00:00000Z,Castilla - La Mancha,0.375
2021-05-16T22:00:00000Z,Castilla - La Mancha,0.39299999999999996
2021-05-17T22:00:00000Z,Castilla - La Mancha,0.397
2021-05-18T22:00:00000Z,Castilla - La Mancha,0.40299999999999997
2021-05-19T22:00:00000Z,Castilla - La Mancha,0.41200000000000003
2021-05-20T22:00:00000Z,Castilla - La Mancha,0.42100000000000004
2021-05-23T22:00:00000Z,Castilla - La Mancha,0.433
2021-05-24T22:00:00000Z,Castilla - La Mancha,0.43700000000000006
2021-05-25T22:00:00000Z,Castilla - La Mancha,0.44299999999999995
2021-05-26T22:00:00000Z,Castilla - La Mancha,0.45
2021-05-27T22:00:00000Z,Castilla - La Mancha,0.455
2021-05-30T22:00:00000Z,Castilla - La Mancha,0.474
2021-05-31T22:00:00000Z,Castilla - La Mancha,0.475
2021-06-01T22:00:00000Z,Castilla - La Mancha,0.48
2021-06-02T22:00:00000Z,Castilla - La Mancha,0.49
2021-03-30T22:00:00000Z,Cataluña,0.131
2021-03-31T22:00:00000Z,Cataluña,0.141
2021-04-02T22:00:00000Z,Cataluña,0.141
2021-04-04T22:00:00000Z,Cataluña,0.153
2021-04-05T22:00:00000Z,Cataluña,0.156
2021-04-06T22:00:00000Z,Cataluña,0.163
2021-04-07T22:00:00000Z,Cataluña,0.175
2021-04-08T22:00:00000Z,Cataluña,0.18600000000000003
2021-04-11T22:00:00000Z,Cataluña,0.195
2021-04-12T22:00:00000Z,Cataluña,0.204
2021-04-13T22:00:00000Z,Cataluña,0.21100000000000002
2021-04-14T22:00:00000Z,Cataluña,0.222
2021-04-15T22:00:00000Z,Cataluña,0.233
2021-04-18T22:00:00000Z,Cataluña,0.24100000000000002
2021-04-19T22:00:00000Z,Cataluña,0.243
2021-04-20T22:00:00000Z,Cataluña,0.247
2021-04-21T22:00:00000Z,Cataluña,0.251
2021-04-22T22:00:00000Z,Cataluña,0.257
2021-04-25T22:00:00000Z,Cataluña,0.263
