ccaa,fecha,cases_50to59,cases_60to69,cases_70to79,cases_above80,cases_under50,deaths_under50,deaths_50to59,deaths_60to69,deaths_70to79,deaths_above80,hosp_under50,hosp_50to59,hosp_60to69,hosp_70to79,hosp_above80,uci_under50,uci_50to59,uci_60to69,uci_70to79,uci_above80
C.Mancha,2020-09-13,62,45,33,25,263,0,0,0,2,8,8,12,8,5,15,1,1,1,1,0
C.Valenciana,2020-09-13,46,29,15,11,225,0,0,2,0,5,5,10,4,6,10,1,0,1,1,0
Cantabria,2020-09-12,13,9,11,8,81,0,0,0,0,0,1,2,1,2,5,0,0,0,0,0
Baleares,2020-09-12,9,8,5,4,42,0,0,0,1,2,4,1,4,3,4,0,0,0,0,0
Asturias,2020-09-12,7,11,7,1,40,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
no_ccaa,2020-09-12,8,13,4,2,33,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Navarra,2020-09-12,32,24,15,11,202,0,0,0,0,3,1,6,2,2,3,0,0,0,1,0
Murcia,2020-09-12,71,26,10,9,327,0,0,0,0,2,15,7,8,4,2,0,2,2,1,0
Melilla,2020-09-12,2,1,0,0,20,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Madrid,2020-09-12,294,180,113,107,1431,1,2,3,6,21,100,46,47,45,72,2,4,8,7,0
La Rioja,2020-09-12,16,11,15,32,55,0,0,0,0,0,1,0,4,5,3,0,1,0,0,0
Aragón,2020-09-12,52,32,30,26,196,0,0,1,2,6,5,3,2,3,17,1,0,1,0,0
Canarias,2020-09-12,43,21,12,11,177,0,0,0,0,0,4,3,2,4,2,2,0,1,0,0
Ceuta,2020-09-12,2,2,0,0,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Galicia,2020-09-12,32,20,13,13,122,0,0,0,0,2,4,3,4,5,12,0,1,0,0,0
País Vasco,2020-09-12,67,52,31,28,353,0,0,0,0,10,8,9,0,8,10,0,0,0,1,0
Extremadura,2020-09-12,30,18,12,15,104,0,0,1,0,0,3,2,1,2,3,0,1,1,0,0
Cataluña,2020-09-12,79,66,34,58,408,0,0,0,0,3,9,2,4,4,9,1,1,0,0,0
C.León,2020-09-12,87,67,43,58,389,0,0,0,2,7,7,6,10,7,20,0,0,1,4,0
Andalucía,2020-09-12,115,79,58,50,642,0,1,4,2,6,13,11,15,20,14,2,4,1,1,0
