ccaa,fecha,cases_50to59,cases_60to69,cases_70to79,cases_above80,cases_under50,deaths_under50,deaths_50to59,deaths_60to69,deaths_70to79,deaths_above80,hosp_under50,hosp_50to59,hosp_60to69,hosp_70to79,hosp_above80,uci_under50,uci_50to59,uci_60to69,uci_70to79,uci_above80
Madrid,2020-10-02,595,358,179,209,2725,0,0,5,8,28,70,51,54,49,66,6,3,9,6,3
La Rioja,2020-10-02,10,9,7,5,28,0,0,0,1,1,1,3,2,1,3,0,0,0,1,0
Aragón,2020-10-02,57,36,29,41,263,0,0,0,0,2,7,3,3,9,7,0,0,1,1,1
Canarias,2020-10-02,15,17,6,2,77,0,0,0,1,0,2,2,2,2,1,1,1,0,0,0
Ceuta,2020-10-02,3,1,0,0,15,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Galicia,2020-10-02,33,19,12,5,153,0,0,0,0,5,5,3,2,7,6,0,0,2,0,0
País Vasco,2020-10-02,71,40,28,30,285,0,1,0,1,6,9,7,6,6,9,0,0,3,0,0
Extremadura,2020-10-02,25,18,9,19,112,0,0,0,1,7,2,0,1,5,4,0,0,0,0,0
Cataluña,2020-10-02,215,155,101,142,1231,0,0,1,0,7,8,8,15,12,23,2,0,4,1,1
C.León,2020-10-02,121,99,54,87,531,0,0,1,3,11,5,10,8,10,34,1,4,1,2,1
Andalucía,2020-10-02,250,150,89,103,1168,0,1,4,4,11,15,12,22,19,34,0,0,1,3,0
C.Mancha,2020-10-02,109,54,32,29,480,0,2,1,1,7,13,11,5,7,16,1,2,1,1,0
C.Valenciana,2020-10-02,60,52,34,27,352,0,0,0,1,2,6,1,8,8,14,0,1,1,0,0
Cantabria,2020-10-01,4,7,0,2,25,0,0,0,0,0,2,0,1,1,2,0,0,0,1,0
Baleares,2020-10-01,9,9,6,7,70,0,0,0,1,3,0,3,0,3,3,0,1,0,1,0
Asturias,2020-10-01,14,10,3,9,40,0,0,1,0,0,0,1,4,4,6,0,0,2,0,0
no_ccaa,2020-10-01,9,6,2,6,51,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0
Navarra,2020-10-01,36,35,20,35,219,0,0,1,0,4,4,3,3,1,6,1,0,0,1,0
Murcia,2020-10-01,59,31,14,11,293,0,0,0,0,1,11,5,5,9,5,0,0,2,0,0
Melilla,2020-10-01,3,1,2,0,24,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Madrid,2020-10-01,510,243,140,153,2222,1,1,1,7,23,72,41,49,43,67,4,1,11,7,0
La Rioja,2020-10-01,14,3,4,9,52,0,0,0,0,0,2,1,1,1,2,0,0,1,0,0
Aragón,2020-10-01,53,25,26,36,226,0,0,0,3,10,5,3,6,3,9,1,0,0,1,0
Canarias,2020-10-01,36,25,15,3,119,0,0,2,0,0,7,3,5,0,1,0,0,1,0,0
Ceuta,2020-10-01,3,3,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Galicia,2020-10-01,22,22,17,5,144,0,0,0,1,0,5,3,8,4,3,0,0,1,0,0
País Vasco,2020-10-01,65,42,26,44,261,0,0,0,1,2,4,6,7,4,15,1,1,1,2,0
Extremadura,2020-10-01,28,19,9,19,92,0,0,0,0,4,2,1,0,0,3,0,0,0,0,0
Cataluña,2020-10-01,201,102,72,47,1159,0,0,3,0,8,9,12,11,16,19,0,0,1,1,0
C.León,2020-10-01,143,83,48,68,500,0,0,1,2,15,9,8,14,16,29,1,1,1,4,0
Andalucía,2020-10-01,239,126,77,58,1153,1,3,4,1,16,14,13,16,19,23,1,1,3,7,1
C.Mancha,2020-10-01,88,54,31,28,430,0,0,1,5,6,8,8,12,14,15,0,0,2,3,0
C.Valenciana,2020-10-01,57,39,27,24,338,0,0,0,0,2,9,2,5,8,9,0,0,0,0,0
Cantabria,2020-09-30,3,4,4,1,32,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0
Baleares,2020-09-30,14,11,4,6,79,0,1,1,3,1,1,0,2,1,5,0,0,0,0,0
Asturias,2020-09-30,11,14,12,6,64,0,0,0,0,3,1,1,1,1,2,0,0,0,0,0
no_ccaa,2020-09-30,5,11,7,3,40,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Navarra,2020-09-30,32,22,5,22,148,0,0,0,0,4,4,3,1,1,7,1,1,0,0,0
Murcia,2020-09-30,46,17,11,6,311,0,0,1,0,2,13,7,5,5,6,2,0,1,3,0
Melilla,2020-09-30,2,2,0,0,27,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Madrid,2020-09-30,504,281,179,173,2612,2,4,5,8,33,85,49,43,46,72,2,3,12,6,0
La Rioja,2020-09-30,19,13,4,10,67,1,0,0,1,2,4,2,1,1,4,0,0,0,1,0
Aragón,2020-09-30,36,27,10,23,163,0,0,1,0,2,6,4,2,7,11,0,1,0,0,0
Canarias,2020-09-30,29,15,13,5,117,0,0,0,0,0,4,0,4,2,5,0,0,3,0,0
Ceuta,2020-09-30,3,2,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2020-09-30,26,14,21,14,112,0,0,0,2,3,3,3,2,6,9,1,0,1,1,0
País Vasco,2020-09-30,63,44,17,33,267,0,1,0,1,6,6,1,2,6,7,0,2,1,1,0
Extremadura,2020-09-30,22,12,14,19,99,0,0,1,1,6,5,1,4,1,2,0,0,0,0,0
Cataluña,2020-09-30,197,125,72,77,1048,0,1,1,1,13,11,6,11,10,17,2,1,0,3,0
C.León,2020-09-30,140,100,53,74,535,0,1,1,4,9,11,7,14,9,36,3,1,1,2,0
Andalucía,2020-09-30,184,109,78,91,968,0,1,1,5,8,22,12,11,14,22,1,3,0,1,0
C.Mancha,2020-09-30,93,82,42,51,466,0,1,0,1,4,16,5,6,12,23,1,2,0,1,0
C.Valenciana,2020-09-30,71,31,29,12,344,0,1,1,0,3,10,5,4,5,9,0,0,2,2,2
Cantabria,2020-09-29,3,5,2,3,20,0,0,0,0,0,0,2,0,2,2,0,0,1,0,0
Baleares,2020-09-29,18,9,11,12,102,0,0,0,0,2,1,0,2,4,3,0,0,0,1,0
Asturias,2020-09-29,10,4,8,3,43,0,0,0,0,2,2,3,1,1,4,1,0,0,1,0
no_ccaa,2020-09-29,6,4,1,1,29,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1
Navarra,2020-09-29,51,22,11,10,178,0,0,0,1,2,6,4,4,1,5,0,0,0,0,0
Murcia,2020-09-29,66,18,12,10,267,0,0,1,1,2,9,5,5,5,4,2,2,1,0,0
Melilla,2020-09-29,7,1,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,2020-09-29,676,393,207,224,3071,0,4,3,14,25,75,61,67,71,94,3,4,4,7,1
La Rioja,2020-09-29,10,3,5,8,38,0,0,0,1,1,3,2,0,1,3,0,0,0,0,0
Aragón,2020-09-29,41,17,20,10,203,0,0,0,2,6,6,0,3,7,2,1,0,0,1,0
Canarias,2020-09-29,23,18,7,9,101,0,0,0,0,0,4,2,3,3,6,0,0,1,0,0
Ceuta,2020-09-29,1,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2020-09-29,22,15,13,14,100,0,0,1,0,5,2,2,5,4,4,1,2,0,1,0
País Vasco,2020-09-29,72,36,17,46,291,1,0,1,3,6,5,2,5,4,10,0,0,1,1,0
Extremadura,2020-09-29,28,14,7,15,117,0,0,1,1,2,0,1,4,1,5,0,0,0,0,0
Cataluña,2020-09-29,169,111,50,92,1099,0,0,1,4,11,8,6,4,14,17,0,1,0,1,1
C.León,2020-09-29,92,87,64,138,367,0,0,0,3,7,15,15,17,12,28,0,0,0,2,2
Andalucía,2020-09-29,157,117,68,63,822,1,3,2,4,7,15,11,18,27,20,5,1,3,2,1
C.Mancha,2020-09-29,74,39,28,27,316,1,1,0,2,5,8,4,11,10,23,2,0,2,2,0
C.Valenciana,2020-09-29,56,45,28,10,271,1,0,0,1,5,14,6,8,4,6,2,1,1,0,1
Cantabria,2020-09-28,7,8,4,8,46,0,0,0,0,1,1,1,2,2,1,1,0,0,0,0
Baleares,2020-09-28,7,6,2,2,46,0,0,0,1,1,1,1,1,0,2,0,0,0,0,0
Asturias,2020-09-28,10,6,13,1,37,0,0,0,0,0,1,1,3,3,3,0,0,1,1,0
no_ccaa,2020-09-28,6,4,1,0,15,0,1,0,0,0,0,2,1,1,0,0,2,1,0,0
Navarra,2020-09-28,45,18,18,35,206,0,0,0,0,2,3,3,3,2,4,0,0,0,0,0
Murcia,2020-09-28,30,21,9,18,166,0,0,0,0,1,12,5,7,3,1,1,1,2,1,0
Melilla,2020-09-28,1,2,0,1,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Madrid,2020-09-28,312,173,96,120,1259,0,3,2,14,25,84,47,63,50,69,4,7,10,11,0
La Rioja,2020-09-28,6,6,6,6,60,0,0,1,1,0,1,0,0,1,2,0,0,0,0,0
Aragón,2020-09-28,25,21,15,22,122,0,0,0,0,4,8,5,4,5,9,0,0,2,0,0
Canarias,2020-09-28,14,9,7,5,53,0,0,0,0,0,0,1,1,5,0,0,1,1,2,0
Ceuta,2020-09-28,5,1,1,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Galicia,2020-09-28,17,11,11,10,91,0,0,0,0,2,1,4,4,4,2,0,2,0,0,0
País Vasco,2020-09-28,39,31,23,16,209,1,0,0,1,5,3,6,6,4,14,1,3,4,2,1
Extremadura,2020-09-28,21,15,7,9,79,0,0,1,1,2,0,1,4,1,6,0,0,0,0,0
Cataluña,2020-09-28,145,98,58,76,833,1,0,2,2,7,12,7,11,9,16,1,4,1,0,1
C.León,2020-09-28,55,49,28,42,236,0,0,0,4,9,12,7,11,10,24,3,1,1,4,2
Andalucía,2020-09-28,129,62,40,36,517,0,2,3,8,11,18,8,19,17,26,1,1,1,1,0
C.Mancha,2020-09-28,96,53,41,22,379,2,1,0,3,11,6,6,13,14,24,0,0,2,1,0
C.Valenciana,2020-09-28,43,19,12,12,203,0,0,1,3,1,10,10,6,5,7,2,0,1,3,0
Cantabria,2020-09-27,6,2,3,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Baleares,2020-09-27,10,5,4,9,31,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
Asturias,2020-09-27,10,8,5,4,36,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0
no_ccaa,2020-09-27,2,1,0,3,18,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
Navarra,2020-09-27,28,16,11,10,199,0,0,0,1,3,4,3,1,0,1,2,0,0,0,0
Murcia,2020-09-27,39,26,12,10,276,0,0,0,1,1,8,3,1,3,4,2,2,1,0,0
Melilla,2020-09-27,2,0,0,3,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Madrid,2020-09-27,152,90,56,71,580,1,1,4,4,22,59,37,30,30,64,7,6,6,5,0
La Rioja,2020-09-27,13,9,5,2,58,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
Aragón,2020-09-27,33,29,25,60,206,0,1,0,0,4,3,6,4,3,8,1,0,2,0,0
Canarias,2020-09-27,18,15,5,3,112,0,1,0,0,2,3,1,2,1,0,0,0,1,1,0
Ceuta,2020-09-27,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Galicia,2020-09-27,24,20,17,12,94,0,0,1,1,3,2,4,6,0,5,0,0,2,0,0
País Vasco,2020-09-27,53,40,15,22,244,0,0,0,1,4,4,1,7,6,6,0,0,0,1,0
Extremadura,2020-09-27,15,14,1,7,63,0,0,0,0,2,3,0,0,1,6,1,0,0,0,0
Cataluña,2020-09-27,63,26,16,9,277,0,1,1,4,8,12,0,7,3,9,0,0,0,2,0
C.León,2020-09-27,40,30,17,26,203,0,0,4,0,9,10,6,6,15,25,2,0,3,1,0
Andalucía,2020-09-27,96,75,40,30,463,0,1,1,4,14,15,3,8,12,16,0,1,5,1,0
C.Mancha,2020-09-27,57,24,27,16,239,0,0,0,5,4,12,7,6,7,7,2,1,1,3,0
C.Valenciana,2020-09-27,26,22,14,12,141,0,0,0,0,2,7,3,6,4,11,0,0,0,0,2
Cantabria,2020-09-26,9,8,1,4,33,0,0,0,0,1,2,1,0,0,2,0,0,1,0,0
Baleares,2020-09-26,15,7,9,11,60,0,0,0,0,1,1,4,0,4,1,0,0,0,0,0
Asturias,2020-09-26,17,17,14,8,55,0,0,0,1,0,1,0,3,3,0,0,0,1,0,0
no_ccaa,2020-09-26,3,3,1,3,18,0,0,1,0,0,2,1,0,1,3,0,0,0,0,0
Navarra,2020-09-26,58,24,12,10,259,0,1,0,0,1,5,0,2,2,5,1,0,0,0,0
Murcia,2020-09-26,60,34,16,8,348,1,2,0,0,0,11,5,5,3,4,2,3,0,1,0
Melilla,2020-09-26,2,1,0,1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Madrid,2020-09-26,196,123,79,109,955,0,0,3,8,33,55,32,31,32,57,3,5,8,2,0
La Rioja,2020-09-26,9,10,7,5,38,0,0,0,0,1,0,1,2,2,3,0,1,0,0,0
Aragón,2020-09-26,34,35,16,22,153,1,0,1,3,10,6,3,3,8,9,0,1,0,1,1
Canarias,2020-09-26,31,19,11,3,115,0,0,0,1,0,2,1,5,7,2,0,0,1,3,0
Ceuta,2020-09-26,4,2,0,1,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Galicia,2020-09-26,26,24,13,15,134,0,0,1,0,1,3,2,1,4,4,0,1,0,0,0
País Vasco,2020-09-26,61,36,21,31,356,0,0,0,0,5,4,3,4,0,7,0,0,0,1,0
Extremadura,2020-09-26,34,18,9,9,84,0,0,0,0,4,2,4,2,1,8,0,1,0,0,0
Cataluña,2020-09-26,82,54,25,30,422,0,1,0,1,4,12,3,4,7,8,0,0,1,0,0
C.León,2020-09-26,83,66,50,53,392,0,0,0,0,6,7,6,8,12,29,0,0,2,4,0
Andalucía,2020-09-26,164,104,81,91,823,0,2,0,2,7,14,13,11,16,24,1,0,2,1,0
C.Mancha,2020-09-26,92,58,38,44,475,0,0,1,2,6,11,8,13,9,9,0,0,1,0,0
C.Valenciana,2020-09-26,53,38,15,12,264,0,0,0,1,2,12,9,4,6,5,1,0,0,1,0
Cantabria,2020-09-25,5,8,1,1,37,0,0,0,1,0,0,3,4,0,1,0,0,0,1,1
Baleares,2020-09-25,18,12,11,17,111,0,0,1,1,3,0,2,0,2,6,0,0,0,1,0
Asturias,2020-09-25,19,17,8,10,75,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0
no_ccaa,2020-09-25,6,6,1,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navarra,2020-09-25,57,30,18,15,248,0,1,0,0,1,4,6,2,0,10,1,0,2,1,0
Murcia,2020-09-25,50,23,13,7,335,0,0,0,1,1,17,8,3,7,11,2,0,2,0,0
Melilla,2020-09-25,3,0,0,0,28,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
Madrid,2020-09-25,724,432,244,229,4056,0,0,3,10,24,86,68,51,48,67,5,4,5,10,0
La Rioja,2020-09-25,18,11,8,8,64,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0
Aragón,2020-09-25,50,35,28,23,253,0,0,1,1,4,6,6,5,6,14,0,0,3,0,0
Canarias,2020-09-25,19,13,9,2,100,0,0,0,4,1,8,3,6,4,1,1,0,3,2,0
Ceuta,2020-09-25,0,2,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2020-09-25,35,17,19,8,139,0,0,0,0,2,4,1,7,3,6,0,1,2,0,2
País Vasco,2020-09-25,68,32,24,20,284,0,0,2,1,9,4,6,5,4,7,0,1,1,3,0
Extremadura,2020-09-25,34,22,8,14,124,0,0,1,0,5,0,2,4,0,8,0,1,0,0,0
Cataluña,2020-09-25,171,91,62,53,932,0,0,1,1,8,3,7,5,6,17,1,0,0,0,0
C.León,2020-09-25,120,99,94,93,585,0,0,1,2,11,13,9,12,19,29,2,0,4,0,0
Andalucía,2020-09-25,211,121,53,80,955,1,0,0,1,15,19,22,16,20,22,2,0,3,2,0
C.Mancha,2020-09-25,98,72,48,95,497,0,1,0,0,3,5,7,9,11,18,1,0,2,4,0
C.Valenciana,2020-09-25,72,42,34,22,347,0,1,0,1,4,8,4,6,6,7,4,0,1,1,0
Cantabria,2020-09-24,11,4,4,2,48,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0
Baleares,2020-09-24,20,17,5,4,85,0,0,0,0,2,2,0,2,3,1,1,0,0,0,0
Asturias,2020-09-24,9,8,7,7,60,0,0,1,0,0,4,1,3,2,5,0,0,0,0,0
no_ccaa,2020-09-24,8,3,2,1,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Navarra,2020-09-24,52,18,16,18,231,0,0,0,1,0,6,2,3,2,4,1,0,1,0,0
Murcia,2020-09-24,88,41,24,17,495,0,0,1,0,2,12,7,7,6,2,0,0,5,0,0
Melilla,2020-09-24,4,2,0,1,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Madrid,2020-09-24,583,354,215,202,3281,3,0,0,14,33,94,62,57,65,103,2,6,9,5,0
La Rioja,2020-09-24,12,17,14,10,82,0,0,0,0,1,0,1,1,1,4,0,0,0,0,0
Aragón,2020-09-24,63,29,14,33,262,0,0,1,2,5,3,7,11,4,14,0,0,1,1,0
Canarias,2020-09-24,26,22,8,6,196,0,1,2,1,2,1,5,2,4,3,1,1,0,0,0
Ceuta,2020-09-24,3,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2020-09-24,39,23,15,16,160,0,0,1,0,1,1,1,3,0,10,0,1,0,0,0
País Vasco,2020-09-24,66,37,34,25,247,0,0,2,1,4,5,2,6,4,10,1,0,2,0,0
Extremadura,2020-09-24,28,35,21,66,161,0,0,0,1,3,4,3,4,4,7,0,1,0,1,1
Cataluña,2020-09-24,96,71,39,33,659,1,0,2,1,9,7,5,6,3,19,1,0,1,0,0
C.León,2020-09-24,157,123,80,101,595,0,0,0,3,6,12,6,8,14,18,2,0,3,2,0
Andalucía,2020-09-24,197,134,95,97,965,0,0,0,2,10,16,18,18,26,33,1,0,2,2,0
C.Mancha,2020-09-24,98,76,43,56,555,0,0,1,3,8,10,11,12,10,21,0,0,3,0,1
C.Valenciana,2020-09-24,73,33,24,21,372,0,0,0,1,1,8,9,8,5,5,2,2,0,1,0
Cantabria,2020-09-23,14,12,4,3,33,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0
Baleares,2020-09-23,19,8,10,7,124,0,0,0,1,0,1,0,4,2,2,0,0,0,0,0
Asturias,2020-09-23,13,17,5,6,58,0,0,0,0,0,2,0,3,1,3,0,0,0,0,0
no_ccaa,2020-09-23,4,3,8,1,38,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
Navarra,2020-09-23,39,32,6,17,266,0,0,0,0,0,5,1,2,1,1,0,0,0,0,0
Murcia,2020-09-23,50,27,12,10,356,0,0,0,0,3,15,3,5,4,3,0,2,3,1,0
Melilla,2020-09-23,5,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,2020-09-23,698,393,264,227,3371,1,0,3,5,24,84,58,87,66,87,9,10,9,7,2
La Rioja,2020-09-23,14,8,5,7,76,0,0,0,0,1,2,1,1,2,1,0,0,0,1,0
Aragón,2020-09-23,30,23,15,17,152,0,0,1,2,5,3,4,6,6,11,0,0,1,0,0
Canarias,2020-09-23,20,14,11,3,102,0,0,0,0,0,6,1,4,1,3,1,0,1,1,0
Ceuta,2020-09-23,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Galicia,2020-09-23,24,18,19,33,104,0,0,0,1,2,1,3,4,0,6,0,0,0,1,0
País Vasco,2020-09-23,58,54,32,44,369,0,0,0,1,12,6,5,4,7,15,0,0,2,2,0
Extremadura,2020-09-23,30,21,11,35,93,0,1,0,0,3,1,5,6,3,11,1,0,0,0,0
Cataluña,2020-09-23,148,97,59,70,1026,0,0,0,2,6,12,3,6,10,14,0,1,0,2,0
C.León,2020-09-23,140,101,74,104,506,0,0,1,2,9,10,7,9,20,25,0,0,3,2,1
Andalucía,2020-09-23,184,132,78,67,840,0,1,0,4,9,28,5,13,15,18,1,3,1,2,1
C.Mancha,2020-09-23,120,79,54,59,590,0,0,0,0,5,10,5,10,10,23,0,0,1,0,0
C.Valenciana,2020-09-23,86,49,30,16,335,0,0,0,1,5,4,5,9,4,3,0,1,0,0,0
Cantabria,2020-09-22,14,19,2,4,28,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0
Baleares,2020-09-22,23,17,11,10,105,0,0,0,2,4,3,3,1,4,2,0,0,3,0,0
Asturias,2020-09-22,9,7,9,2,53,0,0,0,0,0,0,1,1,2,3,0,0,1,1,0
no_ccaa,2020-09-22,6,2,0,1,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Navarra,2020-09-22,66,37,14,8,301,0,0,1,0,0,8,4,2,3,10,0,1,0,1,0
Murcia,2020-09-22,65,20,12,3,348,0,1,1,0,1,9,9,9,2,4,0,0,0,0,0
Melilla,2020-09-22,7,5,0,0,35,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Madrid,2020-09-22,761,465,238,212,3712,0,3,3,8,24,104,82,78,65,100,8,4,18,7,1
La Rioja,2020-09-22,17,9,4,4,49,0,0,0,2,0,1,5,3,1,5,0,0,0,0,0
Aragón,2020-09-22,36,21,20,19,113,0,1,2,2,6,4,5,5,10,13,0,0,1,0,0
Canarias,2020-09-22,25,14,4,3,110,0,0,1,1,0,0,1,6,1,3,0,0,3,2,0
Ceuta,2020-09-22,4,4,2,0,10,0,0,0,0,0,0,1,2,2,0,1,1,0,1,0
Galicia,2020-09-22,29,27,28,71,144,0,0,0,0,1,6,0,5,1,12,0,0,1,1,1
País Vasco,2020-09-22,59,44,29,40,283,0,0,2,0,6,4,6,4,7,9,1,1,0,1,0
Extremadura,2020-09-22,20,27,14,30,121,0,0,0,1,5,1,2,2,4,9,0,0,0,0,0
Cataluña,2020-09-22,168,106,73,79,914,0,0,1,0,4,6,8,8,7,12,1,0,3,3,0
C.León,2020-09-22,96,97,62,64,395,0,0,0,1,6,6,5,12,7,21,0,1,1,1,1
Andalucía,2020-09-22,165,101,95,82,844,1,1,3,3,9,19,14,19,24,30,0,2,1,4,0
C.Mancha,2020-09-22,88,68,49,34,489,0,0,1,3,6,10,8,8,10,21,0,0,3,1,0
C.Valenciana,2020-09-22,86,48,28,21,361,0,0,1,5,4,12,7,6,9,6,1,1,2,1,0
Cantabria,2020-09-21,4,3,7,2,35,0,0,0,0,1,4,0,2,2,3,0,0,0,1,0
Baleares,2020-09-21,19,6,4,3,80,0,0,0,0,5,1,0,2,1,5,0,0,1,0,0
Asturias,2020-09-21,5,9,10,2,42,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0
no_ccaa,2020-09-21,7,9,3,1,29,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0
Navarra,2020-09-21,45,23,11,7,275,0,1,0,1,3,4,5,3,1,4,0,0,0,0,0
Murcia,2020-09-21,34,20,9,5,221,0,0,2,0,1,9,7,8,2,4,0,1,1,0,1
Melilla,2020-09-21,3,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Madrid,2020-09-21,330,196,147,124,1483,0,5,4,9,16,97,65,61,57,57,3,8,9,4,2
La Rioja,2020-09-21,4,0,5,1,21,1,0,0,0,3,1,2,1,1,3,0,0,1,0,0
Aragón,2020-09-21,42,38,27,38,167,0,1,2,0,8,3,2,8,4,14,0,0,1,1,0
Canarias,2020-09-21,27,15,12,9,108,0,0,0,1,1,3,4,3,1,4,1,2,2,0,0
Ceuta,2020-09-21,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Galicia,2020-09-21,30,14,12,12,162,0,0,0,0,1,5,1,6,6,7,0,0,1,0,1
País Vasco,2020-09-21,42,27,16,18,249,0,0,0,1,5,5,4,4,9,14,0,1,0,0,1
Extremadura,2020-09-21,31,20,15,18,105,0,0,1,1,2,4,2,2,8,8,0,0,1,0,0
Cataluña,2020-09-21,179,94,54,61,876,0,1,0,2,9,9,5,4,8,11,5,0,0,0,0
C.León,2020-09-21,70,58,28,54,273,0,0,0,0,12,14,11,7,13,27,0,0,4,2,0
Andalucía,2020-09-21,115,108,69,66,518,0,0,2,3,8,11,12,20,17,26,0,2,1,2,1
C.Mancha,2020-09-21,79,44,23,27,290,0,0,3,1,3,16,11,6,14,19,3,2,2,2,1
C.Valenciana,2020-09-21,46,34,24,13,245,0,1,0,1,0,10,11,15,7,12,1,1,2,2,1
Cantabria,2020-09-20,9,7,6,5,40,0,0,0,0,0,0,1,2,2,4,0,0,0,0,0
Baleares,2020-09-20,14,5,3,7,49,0,0,0,0,4,3,1,3,4,2,0,0,1,1,0
Asturias,2020-09-20,6,2,4,0,45,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
no_ccaa,2020-09-20,3,5,2,0,26,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0
Navarra,2020-09-20,60,31,15,25,232,0,0,0,0,1,5,0,0,1,3,1,0,0,1,0
Murcia,2020-09-20,39,16,12,10,194,0,0,0,0,0,10,0,2,3,2,1,2,0,1,0
Melilla,2020-09-20,7,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,2020-09-20,182,104,59,73,765,0,0,6,5,21,58,37,29,34,70,2,4,6,7,0
La Rioja,2020-09-20,12,17,9,2,92,0,0,0,0,3,0,1,1,0,2,0,0,1,0,0
Aragón,2020-09-20,32,28,17,20,167,0,1,0,2,2,4,1,3,2,11,1,0,2,0,0
Canarias,2020-09-20,13,17,4,5,79,0,0,0,0,1,6,2,4,1,4,1,0,3,0,0
Ceuta,2020-09-20,2,1,0,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Galicia,2020-09-20,26,15,15,19,103,0,0,0,0,3,2,1,4,1,11,0,2,0,0,0
País Vasco,2020-09-20,53,31,21,26,270,0,0,1,1,4,2,0,3,5,5,1,0,3,0,0
Extremadura,2020-09-20,25,22,17,12,102,0,0,0,1,4,3,1,1,6,6,0,0,0,3,1
Cataluña,2020-09-20,78,38,29,25,312,0,0,1,1,2,9,8,4,9,10,0,0,2,3,1
C.León,2020-09-20,76,57,32,73,230,0,0,1,1,8,12,5,7,12,16,1,0,2,5,0
Andalucía,2020-09-20,104,66,39,57,481,1,1,1,0,10,14,8,11,14,15,0,2,5,1,0
C.Mancha,2020-09-20,55,50,33,32,318,0,0,1,3,9,7,4,5,4,16,1,0,3,1,1
C.Valenciana,2020-09-20,47,19,16,13,176,0,1,0,0,2,7,7,8,7,12,0,1,0,1,0
Cantabria,2020-09-19,11,4,1,5,43,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
Baleares,2020-09-19,15,12,4,9,85,0,0,0,0,4,0,4,3,5,4,0,2,1,0,1
Asturias,2020-09-19,20,16,13,6,77,0,0,0,0,0,3,1,0,1,2,0,0,1,0,0
no_ccaa,2020-09-19,1,6,5,3,11,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0
Navarra,2020-09-19,21,10,14,10,141,0,0,0,0,2,6,3,1,5,1,0,2,0,0,0
Murcia,2020-09-19,74,41,9,9,414,0,0,1,1,1,8,4,5,2,1,0,2,0,1,0
Melilla,2020-09-19,5,4,2,0,15,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
Madrid,2020-09-19,248,156,95,98,1238,0,3,2,8,30,57,44,49,53,79,1,8,2,8,1
La Rioja,2020-09-19,19,13,7,10,66,0,0,0,0,4,3,0,0,2,3,0,0,0,0,0
